PricingKey,ProductKey,ChannelKey,EffectiveDateKey,ChannelMRP,TransferPrice,MarginSpreadAmount,MarginSpreadPct,SourceSystem,ETL_LoadedAt
94,411,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
95,414,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
96,410,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
97,418,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
98,417,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
99,416,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
100,419,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
101,415,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
102,423,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
103,422,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
104,421,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
105,424,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
106,420,7,20220501,2795.00,695.00,2100.00,302.16,May 2022 Pricing Master,2026-09-07T07:48:47.421676
107,986,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
108,985,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
109,984,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
110,987,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
111,982,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
112,983,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
113,992,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
114,991,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
115,990,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
116,993,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
117,988,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
118,989,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
119,998,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
120,997,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
121,996,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
122,999,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
123,994,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
124,995,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
125,1004,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
126,1003,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
127,1002,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
128,1005,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
129,1000,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
130,1001,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
