LocationKey,City,State,PostalCode,Country,Region,CreatedDate
119,AHMEDABAD,GUJARAT,380050,IN,West India,2026-09-06T03:33:59.032832
120,AHMEDABAD,GUJARAT,382210,IN,West India,2026-09-06T03:33:59.032832
121,AHMEDABAD,GUJARAT,382330,IN,West India,2026-09-06T03:33:59.032832
122,AHMEDABAD,GUJARAT,382340,IN,West India,2026-09-06T03:33:59.032832
123,AHMEDABAD,GUJARAT,382345,IN,West India,2026-09-06T03:33:59.032832
124,AHMEDABAD,GUJARAT,382346,IN,West India,2026-09-06T03:33:59.032832
125,AHMEDABAD,GUJARAT,382421,IN,West India,2026-09-06T03:33:59.032832
126,AHMEDABAD,GUJARAT,382445,IN,West India,2026-09-06T03:33:59.032832
127,AHMEDABAD,GUJARAT,382481,IN,West India,2026-09-06T03:33:59.032832
128,AHMEDABAD 380013,GUJARAT,380013,IN,West India,2026-09-06T03:33:59.032832
129,AHMEDABAD 380014,GUJARAT,380014,IN,West India,2026-09-06T03:33:59.032832
130,AHMEDABAD.,GUJARAT,380055,IN,West India,2026-09-06T03:33:59.032832
131,AHMEDANAGAR,MAHARASHTRA,414003,IN,West India,2026-09-06T03:33:59.032832
132,AHMEDNAGAR,MAHARASHTRA,414005,IN,West India,2026-09-06T03:33:59.032832
133,AHORE,RAJASTHAN,307029,IN,North India,2026-09-06T03:33:59.032832
134,AIZAWL,MIZORAM,796005,IN,Other,2026-09-06T03:33:59.032832
135,AIZAWL,MIZORAM,796007,IN,Other,2026-09-06T03:33:59.032832
136,AIZAWL,MIZORAM,796014,IN,Other,2026-09-06T03:33:59.032832
137,AJEKAR,KARNATAKA,574101,IN,South India,2026-09-06T03:33:59.032832
138,AJMER,RAJASTHAN,305001,IN,North India,2026-09-06T03:33:59.032832
139,AJMER,RAJASTHAN,305002,IN,North India,2026-09-06T03:33:59.032832
140,AKBARPUR NEAR KANPUR,UTTAR PRADESH,209101,IN,North India,2026-09-06T03:33:59.032832
141,AKOLA,MAHARASHTRA,444101,IN,West India,2026-09-06T03:33:59.032832
142,AKOLA,MAHARASHTRA,444102,IN,West India,2026-09-06T03:33:59.032832
143,AKURDI,MAHARASHTRA,411035,IN,West India,2026-09-06T03:33:59.032832
144,ALA,KERALA,680668,IN,South India,2026-09-06T03:33:59.032832
145,"ALAGAPPAPURAM,KANYAKUMARI DISTRICT",TAMIL NADU,629401,IN,South India,2026-09-06T03:33:59.032832
146,ALAIPUR,WEST BENGAL,741245,IN,East & North-East,2026-09-06T03:33:59.032832
147,"ALAMPUR, KANGRA",HIMACHAL PRADESH,176082,IN,North India,2026-09-06T03:33:59.032832
148,ALANGAYAM,TAMIL NADU,635701,IN,South India,2026-09-06T03:33:59.032832
149,ALANTHURAI,TAMIL NADU,641101,IN,South India,2026-09-06T03:33:59.032832
150,ALAPPUZHA,KERALA,688001,IN,South India,2026-09-06T03:33:59.032832
151,ALAPPUZHA,KERALA,688002,IN,South India,2026-09-06T03:33:59.032832
152,ALAPPUZHA,KERALA,688008,IN,South India,2026-09-06T03:33:59.032832
153,ALAPPUZHA,KERALA,688011,IN,South India,2026-09-06T03:33:59.032832
154,ALAPPUZHA,KERALA,688012,IN,South India,2026-09-06T03:33:59.032832
155,ALAPPUZHA,KERALA,688522,IN,South India,2026-09-06T03:33:59.032832
156,ALAPPUZHA,KERALA,688532,IN,South India,2026-09-06T03:33:59.032832
157,ALAPPUZHA,KERALA,688582,IN,South India,2026-09-06T03:33:59.032832
158,ALAPUZHYA,KERALA,689509,IN,South India,2026-09-06T03:33:59.032832
159,ALATHUR,KERALA,678572,IN,South India,2026-09-06T03:33:59.032832
160,ALIBAG,MAHARASHTRA,402203,IN,West India,2026-09-06T03:33:59.032832
161,ALIGARH,UTTAR PRADESH,202122,IN,North India,2026-09-06T03:33:59.032832
162,ALIPURDUAT,WEST BENGAL,736121,IN,East & North-East,2026-09-06T03:33:59.032832
163,",RAIBARELY ROAD FAIZABAD (AYODHYA)",UTTAR PRADESH,224001,IN,North India,2026-09-06T03:33:59.032832
164,.GANNAVARAM,ANDHRA PRADESH,521101,IN,South India,2026-09-06T03:33:59.032832
165,7BARASAT,WEST BENGAL,700124,IN,East & North-East,2026-09-06T03:33:59.032832
166,ABU ROAD,RAJASTHAN,307026,IN,North India,2026-09-06T03:33:59.032832
167,ABU ROAD,RAJASTHAN,307510,IN,North India,2026-09-06T03:33:59.032832
168,ACHARAPAKKAM,TAMIL NADU,603301,IN,South India,2026-09-06T03:33:59.032832
169,"ADAJAN GAM, SURAT",GUJARAT,395009,IN,West India,2026-09-06T03:33:59.032832
170,ADAMPUR,HARYANA,125052,IN,North India,2026-09-06T03:33:59.032832
171,ADAMPUR,PUNJAB,144106,IN,North India,2026-09-06T03:33:59.032832
172,"ADDISION NAGAR, MANGADU",TAMIL NADU,600056,IN,South India,2026-09-06T03:33:59.032832
173,ADILABAD,TELANGANA,500001,IN,South India,2026-09-06T03:33:59.032832
174,ADILABAD,TELANGANA,504001,IN,South India,2026-09-06T03:33:59.032832
175,ADILABAD,TELANGANA,505526,IN,South India,2026-09-06T03:33:59.032832
176,ADITYAPUR/ JAMSHEDPUR,JHARKHAND,831013,IN,East & North-East,2026-09-06T03:33:59.032832
177,ADYAL,MAHARASHTRA,441903,IN,West India,2026-09-06T03:33:59.032832
178,AGARTALA,TRIPURA,799002,IN,Other,2026-09-06T03:33:59.032832
179,AGARTALA,TRIPURA,799003,IN,Other,2026-09-06T03:33:59.032832
180,AGARTALA,TRIPURA,799014,IN,Other,2026-09-06T03:33:59.032832
181,AGATTI,LAKSHADWEEP,682553,IN,Other,2026-09-06T03:33:59.032832
182,AGORPARA,WEST BENGAL,700049,IN,East & North-East,2026-09-06T03:33:59.032832
183,AGRA,UTTAR PRADESH,282001,IN,North India,2026-09-06T03:33:59.032832
184,AGRA,UTTAR PRADESH,282008,IN,North India,2026-09-06T03:33:59.032832
185,AGRA,UTTAR PRADESH,282009,IN,North India,2026-09-06T03:33:59.032832
186,AGRA 282005,UTTAR PRADESH,282005,IN,North India,2026-09-06T03:33:59.032832
187,AHEMDABAD,GUJARAT,380058,IN,West India,2026-09-06T03:33:59.032832
188,AHIWARA,CHHATTISGARH,490036,IN,Central India,2026-09-06T03:33:59.032832
189,AHMADNAGAR,MAHARASHTRA,414006,IN,West India,2026-09-06T03:33:59.032832
190,AHMADPUR,WEST BENGAL,731201,IN,East & North-East,2026-09-06T03:33:59.032832
191,AHMED NAGAR,MAHARASHTRA,423107,IN,West India,2026-09-06T03:33:59.032832
192,AHMEDABAD,GUJARAT,380005,IN,West India,2026-09-06T03:33:59.032832
193,AHMEDABAD,GUJARAT,380013,IN,West India,2026-09-06T03:33:59.032832
194,AHMEDABAD,GUJARAT,380014,IN,West India,2026-09-06T03:33:59.032832
195,AHMEDABAD,GUJARAT,380021,IN,West India,2026-09-06T03:33:59.032832
196,AHMEDABAD,GUJARAT,380027,IN,West India,2026-09-06T03:33:59.032832
197,AHMEDABAD,GUJARAT,380028,IN,West India,2026-09-06T03:33:59.032832
198,AHMEDABAD,GUJARAT,380055,IN,West India,2026-09-06T03:33:59.032832
199,AHMEDABAD,GUJARAT,380063,IN,West India,2026-09-06T03:33:59.032832
200,AHMEDABAD,GUJARAT,382115,IN,West India,2026-09-06T03:33:59.032832
201,AHMEDABAD,GUJARAT,382350,IN,West India,2026-09-06T03:33:59.032832
202,AHMEDABAD,GUJARAT,382405,IN,West India,2026-09-06T03:33:59.032832
203,AHMEDABAD,GUJARAT,382422,IN,West India,2026-09-06T03:33:59.032832
204,AHMEDABAD,GUJARAT,382440,IN,West India,2026-09-06T03:33:59.032832
205,AHMEDABAD,GUJARAT,382449,IN,West India,2026-09-06T03:33:59.032832
206,AHMEDABAD,GUJARAT,382455,IN,West India,2026-09-06T03:33:59.032832
207,AHMEDABAD 380007,GUJARAT,380007,IN,West India,2026-09-06T03:33:59.032832
208,"AHMEDABAD,",GUJARAT,380058,IN,West India,2026-09-06T03:33:59.032832
209,AHMEDNAGAR,MAHARASHTRA,414106,IN,West India,2026-09-06T03:33:59.032832
210,AHMEDNAGAR,MAHARASHTRA,414111,IN,West India,2026-09-06T03:33:59.032832
211,AIMANAM,KERALA,686015,IN,South India,2026-09-06T03:33:59.032832
212,"AIROLI, NAVI MUMBAI",MAHARASHTRA,400708,IN,West India,2026-09-06T03:33:59.032832
213,AIZAWL,MIZORAM,796009,IN,Other,2026-09-06T03:33:59.032832
214,AJMER,RAJASTHAN,305003,IN,North India,2026-09-06T03:33:59.032832
215,AJMER,RAJASTHAN,305004,IN,North India,2026-09-06T03:33:59.032832
216,AKALGARH,PUNJAB,141104,IN,North India,2026-09-06T03:33:59.032832
217,AKALGARH,PUNJAB,141105,IN,North India,2026-09-06T03:33:59.032832
218,AKIVIDU,ANDHRA PRADESH,534235,IN,South India,2026-09-06T03:33:59.032832
219,AKOLA,MAHARASHTRA,444002,IN,West India,2026-09-06T03:33:59.032832
220,AKOLA,MAHARASHTRA,444004,IN,West India,2026-09-06T03:33:59.032832
221,AKOLA,MAHARASHTRA,444005,IN,West India,2026-09-06T03:33:59.032832
222,AKOLA,MAHARASHTRA,444104,IN,West India,2026-09-06T03:33:59.032832
223,AKOLE AHMADNAGAR DISTRICT,MAHARASHTRA,422604,IN,West India,2026-09-06T03:33:59.032832
224,ALAGAPPAPURAM,TAMIL NADU,629401,IN,South India,2026-09-06T03:33:59.032832
225,ALAMCODE MALAPPURAM DISTRICT,KERALA,679585,IN,South India,2026-09-06T03:33:59.032832
226,ALAMCODE VANCHIYOOR THIRUVANANTHAPURAM DISTRICT,KERALA,695102,IN,South India,2026-09-06T03:33:59.032832
227,ALAMURU,ANDHRA PRADESH,533233,IN,South India,2026-09-06T03:33:59.032832
228,ALANDI PUNE,MAHARASHTRA,412105,IN,West India,2026-09-06T03:33:59.032832
229,ALANGAD,KERALA,683511,IN,South India,2026-09-06T03:33:59.032832
230,ALANTHURAI,TAMIL NADU,641114,IN,South India,2026-09-06T03:33:59.032832
231,ALAPPUZHA,KERALA,688013,IN,South India,2026-09-06T03:33:59.032832
232,ALAPPUZHA,KERALA,688504,IN,South India,2026-09-06T03:33:59.032832
233,ALAPPUZHA,KERALA,688505,IN,South India,2026-09-06T03:33:59.032832
234,ALAPPUZHA,KERALA,688533,IN,South India,2026-09-06T03:33:59.032832
235,ALAPPUZHA,KERALA,688562,IN,South India,2026-09-06T03:33:59.032832
236,ALAPPUZHA,KERALA,689121,IN,South India,2026-09-06T03:33:59.032832
237,ALAPPUZHA,KERALA,689504,IN,South India,2026-09-06T03:33:59.032832
238,ALAPPUZHA,KERALA,689572,IN,South India,2026-09-06T03:33:59.032832
239,ALAPPUZHA,KERALA,690517,IN,South India,2026-09-06T03:33:59.032832
240,ALAPPUZHA,KERALA,690530,IN,South India,2026-09-06T03:33:59.032832
241,ALAPPUZHA,KERALA,690548,IN,South India,2026-09-06T03:33:59.032832
242,"(VIA CUNCOLIM)QUEPEM,SOUTH GOA",GOA,403703,IN,West India,2026-09-06T03:33:59.032832
243,147/19 B KESHAB CHANDRA SEN STREET KOLKATA NINE MA,WEST BENGAL,700009,IN,East & North-East,2026-09-06T03:33:59.032832
244,AAMBY VALLEY,MAHARASHTRA,410401,IN,West India,2026-09-06T03:33:59.032832
245,ABHAYAPURI,ASSAM,783384,IN,East & North-East,2026-09-06T03:33:59.032832
246,ABUROAD,RAJASTHAN,307026,IN,North India,2026-09-06T03:33:59.032832
247,ACHAMPET,TELANGANA,509375,IN,South India,2026-09-06T03:33:59.032832
248,ADAMBAKKAM,TAMIL NADU,600088,IN,South India,2026-09-06T03:33:59.032832
249,ADBHAR,CHHATTISGARH,495695,IN,Central India,2026-09-06T03:33:59.032832
250,ADICHANALLOOR,KERALA,691537,IN,South India,2026-09-06T03:33:59.032832
251,ADILABAD,TELANGANA,504251,IN,South India,2026-09-06T03:33:59.032832
252,ADIPUR,GUJARAT,370205,IN,West India,2026-09-06T03:33:59.032832
253,"ADIPUR, GANDHIDHAM",GUJARAT,370205,IN,West India,2026-09-06T03:33:59.032832
254,ADITYAPUR,JHARKHAND,831013,IN,East & North-East,2026-09-06T03:33:59.032832
255,ADONI,ANDHRA PRADESH,518301,IN,South India,2026-09-06T03:33:59.032832
256,ADONI,ANDHRA PRADESH,518302,IN,South India,2026-09-06T03:33:59.032832
257,ADOOR,KERALA,691523,IN,South India,2026-09-06T03:33:59.032832
258,ADOOR,KERALA,691554,IN,South India,2026-09-06T03:33:59.032832
259,ADRA,WEST BENGAL,723121,IN,East & North-East,2026-09-06T03:33:59.032832
260,AFZALGARH,UTTAR PRADESH,246722,IN,North India,2026-09-06T03:33:59.032832
261,AGAR MALWA,MADHYA PRADESH,465441,IN,Central India,2026-09-06T03:33:59.032832
262,AGARPARA,WEST BENGAL,700109,IN,East & North-East,2026-09-06T03:33:59.032832
263,AGARTALA,TRIPURA,799006,IN,Other,2026-09-06T03:33:59.032832
264,AGARTALA,TRIPURA,799210,IN,Other,2026-09-06T03:33:59.032832
265,AGIRIPALLE,ANDHRA PRADESH,521211,IN,South India,2026-09-06T03:33:59.032832
266,AGRA,UTTAR PRADESH,282003,IN,North India,2026-09-06T03:33:59.032832
267,AGRA,UTTAR PRADESH,282004,IN,North India,2026-09-06T03:33:59.032832
268,AGRA,UTTAR PRADESH,282010,IN,North India,2026-09-06T03:33:59.032832
269,AGRA,UTTAR PRADESH,283105,IN,North India,2026-09-06T03:33:59.032832
270,AGRA,UTTAR PRADESH,283119,IN,North India,2026-09-06T03:33:59.032832
271,AHEMADABAD,GUJARAT,380028,IN,West India,2026-09-06T03:33:59.032832
272,AHEMEDABAD,GUJARAT,382424,IN,West India,2026-09-06T03:33:59.032832
