InventoryKey,SnapshotDateKey,ProductKey,StockOnHandQuantity,ReorderThreshold,StockValueAtCost,StockValueAtMRP,SourceSystem,ETL_LoadedAt
114,20220601,3002,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
115,20220601,3003,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
116,20220601,3006,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
117,20220601,3009,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
118,20220601,3015,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
119,20220601,3016,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
120,20220601,3020,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
121,20220601,3030,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
122,20220601,3036,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
123,20220601,3037,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
124,20220601,3046,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
125,20220601,3050,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
126,20220601,3056,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
127,20220601,3058,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
128,20220601,3062,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
129,20220601,3064,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
130,20220601,3067,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
131,20220601,3070,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
132,20220601,3071,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
133,20220601,3072,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
134,20220601,3075,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
135,20220601,3079,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
136,20220601,3088,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
137,20220601,3093,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
138,20220601,3096,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
139,20220601,3100,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
140,20220601,3101,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
141,20220601,3104,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
142,20220601,3106,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
143,20220601,3108,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
144,20220601,3123,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
145,20220601,3125,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
146,20220601,3131,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
147,20220601,3133,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
148,20220601,3143,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
149,20220601,3146,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
150,20220601,3154,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
151,20220601,3158,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
152,20220601,3160,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
153,20220601,3161,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
154,20220601,3162,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
155,20220601,3167,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
156,20220601,3171,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
157,20220601,3181,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
158,20220601,3185,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
159,20220601,3186,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
160,20220601,3189,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
161,20220601,3190,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
162,20220601,3191,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
163,20220601,3193,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
