ProductKey,SKU,ProductName,Category,BaseMRP,TransferPrice,AmazonMRP,MyntraMRP,AjioMRP,FlipkartMRP,LimeroadMRP,PaytmMRP,SnapdealMRP,MaxCrossChannelSpreadAmount,ArbitrageSpreadPct
1167,OS282_S,KURTA SET - OS282 (MIX),KURTA SET,3197.00,640.00,3295.00,3197.00,3295.00,3295.00,3197.00,3197.00,3197.00,98.00,3.070000000000000
1021,OS260_15380_M,KURTA - OS260_15380 (MIX),KURTA,1695.00,395.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
480,OS151_3XL,KURTA - OS151 (MIX),KURTA,1995.00,425.00,1895.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,100.00,5.280000000000000
234,OS1103_L,GOWN - OS1103 (SURMAYA),GOWN,4295.00,995.00,4295.00,4295.00,4295.00,4295.00,4295.00,4295.00,4295.00,0.00,0E-15
1144,OS279_XL,KURTA SET - OS279 (MIX),KURTA SET,3197.00,625.00,3197.00,2995.00,3197.00,3197.00,3197.00,3197.00,3197.00,202.00,6.740000000000000
357,OS123_1332_2XL,KURTA - OS123_1332 (MIX),KURTA,1595.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
898,OS221_2XL,KURTA - OS221 (MIX),KURTA,1795.00,425.00,1695.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,100.00,5.900000000000000
457,OS147_15288_M,TOPS - OS147_15288 (MIX),TOPS,1595.00,361.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
125,OS1068_3XL,KURTA SET - OS1068 (SURMAYA),KURTA SET,2495.00,950.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,0.00,0E-15
706,OS188_5042_3XL,KURTA - OS188_5042 (COLORS-7),KURTA,1538.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
374,OS126_14249_XL,KURTA - OS126_14249 (MIX),KURTA,1595.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
1061,OS268_3XL,KURTA - OS268 (MIX),KURTA,1395.00,220.00,1395.00,1395.00,1395.00,1395.00,1395.00,1395.00,1395.00,0.00,0E-15
65,OS105_3062_3XL,KURTA - OS105_3062 (MIX),KURTA,1595.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
1004,OS257_15377_S,KURTA - OS257_15377 (MIX),KURTA,1695.00,395.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
19,IRIS_1418_M,NILL - IRIS_1418 (NILL),NILL,2494.00,818.00,2494.00,2494.00,2494.00,2494.00,2494.00,2494.00,2494.00,0.00,0E-15
1207,OS289KR_M,KURTA - OS289KR (MIX),KURTA,2195.00,425.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,0.00,0E-15
958,OS231_1384_2XL,KURTA SET - OS231_1384 (MIX),KURTA SET,2678.00,662.00,2795.00,2795.00,2795.00,2795.00,2795.00,2795.00,2795.00,0.00,0E-15
858,OS214_3144_L,KURTA - OS214_3144 (MOMENTS),KURTA,2178.00,538.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
317,OS115_L,KURTA - OS115 (MIX),KURTA,1995.00,425.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,0.00,0E-15
520,OS157_XL,KURTA - OS157 (MIX),KURTA,1795.00,425.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,1795.00,0.00,0E-15
666,OS181_5051_M,KURTA - OS181_5051 (COLORS-8),KURTA,1778.00,438.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
420,OS139_14275_2XL,GOWN - OS139_14275 (MIX),GOWN,2795.00,695.00,2795.00,2795.00,2795.00,2795.00,2795.00,2795.00,2795.00,0.00,0E-15
171,OS1084_XL,KURTA SET - OS1084 (SURMAYA),KURTA SET,2395.00,1050.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,0.00,0E-15
1253,OS307KR_3XL,KURTA - OS307KR (MIX),KURTA,2195.00,425.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,0.00,0E-15
812,OS206_3141_M,KURTA - OS206_3141 (MOMENTS),KURTA,2178.00,538.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
566,OS165_2XL,KURTA - OS165 (MIX),KURTA,1895.00,385.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
271,OS1113_XL,KURTA SET - OS1113 (SURMAYA),KURTA SET,2195.00,930.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,0.00,0E-15
1107,OS276_S,KURTA SET - OS276 (MIX),KURTA SET,3495.00,695.00,3495.00,3195.00,3495.00,3495.00,3495.00,3495.00,3495.00,300.00,9.390000000000000
25,IVORY-1423_2XL,NILL - IVORY-1423 (NILL),NILL,2494.00,818.00,2494.00,2494.00,2494.00,2494.00,2494.00,2494.00,2494.00,0.00,0E-15
1293,OS326_M,KURTA - OS326 (MIX),KURTA,1878.00,467.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,0.00,0E-15
961,OS231_1384_M,KURTA SET - OS231_1384 (MIX),KURTA SET,2678.00,662.00,2795.00,2795.00,2795.00,2795.00,2795.00,2795.00,2795.00,0.00,0E-15
795,OS203_1100_S,KURTA - OS203_1100 (MIX),KURTA,2138.00,529.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,0.00,0E-15
440,OS143_XS,TOPS - OS143 (MIX),TOPS,1795.00,425.00,1995.00,1795.00,1995.00,1795.00,1795.00,1795.00,1795.00,200.00,11.140000000000000
938,OS227_1437_S,KURTA SET - OS227_1437 (ROZANA),KURTA SET,2378.00,590.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,2495.00,0.00,0E-15
583,OS167_XL,KURTA - OS167 (MIX),KURTA,1695.00,395.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
105,OS1061_XL,KURTA SET - OS1061 (SURMAYA),KURTA SET,1895.00,880.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
228,OS1101_L,KURTA SET - OS1101 (SURMAYA),KURTA SET,2295.00,1035.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
1101,OS275_L,KURTA - OS275 (MIX),KURTA,2195.00,425.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,0.00,0E-15
769,OS199_5046_L,KURTA - OS199_5046 (COLORS-7),KURTA,1538.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
560,OS164_2XL,KURTA - OS164 (MIX),KURTA,1695.00,395.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,1695.00,0.00,0E-15
460,OS147_15288_XS,TOPS - OS147_15288 (MIX),TOPS,1595.00,361.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
1124,OS277KR_M,KURTA - OS277KR (MIX),KURTA,2295.00,440.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
