Country,State,City,Region,TotalOrders,TotalUnitsSold,GrossRevenue,NetRevenue,GlobalRevenueSharePct
IN,ANDHRA PRADESH,SINGARAYAKONDA,India,3,3,2477.00,2477.00,0.000000
IN,WEST BENGAL,SAMUKTOLA,India,3,3,1077.00,1077.00,0.000000
IN,TAMIL NADU,CHENNAI.,India,4,4,1455.00,1455.00,0.000000
IN,MAHARASHTRA,MALWAN,India,3,3,2788.00,2788.00,0.000000
IN,KARNATAKA,CHITTAPUR,India,1,0,1182.14,0.00,0.000000
IN,MEGHALAYA,KHLIEHRIAT,India,1,1,301.00,301.00,0.000000
IN,MAHARASHTRA,MUMBAI 400030,India,4,4,2513.00,2513.00,0.000000
IN,TRIPURA,METHERMIA,India,1,1,751.00,751.00,0.000000
IN,UTTARAKHAND,NATTHUWA WALA,India,1,1,1043.00,1043.00,0.000000
IN,JHARKHAND,JAMSHEDPURJAMSHEDPUR,India,2,2,1224.00,1224.00,0.000000
IN,KERALA,PANDAKASALA CHIRAYINKIZH,India,1,1,487.00,487.00,0.000000
IN,BIHAR,DIST-ROHTAS,India,1,1,1388.00,1388.00,0.000000
IN,WEST BENGAL,ITAHAR,India,2,2,1433.00,1433.00,0.000000
IN,TAMIL NADU,MANGALAM,India,2,2,1570.00,1570.00,0.000000
IN,ANDHRA PRADESH,MADANAPALLI CHITTOOR,India,1,1,759.00,759.00,0.000000
IN,UTTAR PRADESH,KAPTANGANJ.  KUSHINAGAR,India,1,1,749.00,749.00,0.000000
IN,UTTAR PRADESH,MEHNAGAR AZAMGARH,India,2,1,301.00,301.00,0.000000
IN,MAHARASHTRA,JUNNAR,India,6,6,4045.00,3355.00,0.000000
IN,KERALA,NJRACKEL,India,2,2,1262.00,1262.00,0.000000
IN,PUNJAB,"DAUDHAR, MOGA",India,1,2,1335.00,1335.00,0.000000
IN,KARNATAKA,BANGALORE-17,India,1,1,1137.00,1137.00,0.000000
IN,TAMIL NADU,KADAMBATHUR,India,1,1,442.00,442.00,0.000000
IN,MADHYA PRADESH,ASHOKNAGAR,India,3,3,1586.00,1586.00,0.000000
IN,BIHAR,KUMARKHAND,India,1,1,759.00,759.00,0.000000
IN,UTTAR PRADESH,SIDDHARTHNAGAR,India,1,1,631.00,631.00,0.000000
IN,KARNATAKA,BALEHONNUR,India,1,1,635.00,635.00,0.000000
IN,MAHARASHTRA,KUDAL- SINDHUDURG,India,1,1,457.00,457.00,0.000000
IN,ASSAM,BHURAGAON,India,1,1,1129.00,1129.00,0.000000
IN,WEST BENGAL,BERHAMPUR,India,1,0,0.00,0.00,0.000000
